Rock Type,TiO2,Al2O3,FeO,MnO,CaO
HARZBURGITE,0.04,2.19,5.92,0.14,0.53
HARZBURGITE,0.1,2.77,2.08,0.08,23.5
LHERZOLITE,0.13,4.84,6.62,0.15,0.67
LHERZOLITE,0.54,6.88,2.83,0.09,21.0
LHERZOLITE,0.11,4.18,6.69,0.16,0.52
LHERZOLITE,0.54,6.97,2.59,0.09,21.3
HARZBURGITE,0.03,2.16,5.4,0.13,0.59
HARZBURGITE,0.08,3.26,2.34,0.07,21.5
LHERZOLITE,0.12,4.42,6.75,0.16,0.85
LHERZOLITE,0.5,6.5,2.63,0.09,21.5
LHERZOLITE,0.11,4.14,7.25,0.17,0.53
LHERZOLITE,0.62,7.05,2.73,0.09,21.4
LHERZOLITE,0.01,0.01,11.0,0.17,0.05
LHERZOLITE,0.29,4.09,7.23,0.18,0.61
LHERZOLITE,1.58,6.46,3.15,0.1,21.64
LHERZOLITE,0.13,4.44,6.94,0.16,0.55
LHERZOLITE,0.63,7.13,2.61,0.09,21.7
WEBSTERITE,0.08,5.41,6.92,0.16,0.54
WEBSTERITE,0.42,7.38,3.16,0.1,21.4
LHERZOLITE,0.14,5.23,6.26,0.14,1.0
LHERZOLITE,0.17,57.06,11.04,0.12,0.01
LHERZOLITE,0.47,7.05,3.19,0.1,19.82
LHERZOLITE,0.01,0.03,10.1,0.16,0.1
LHERZOLITE,0.14,5.25,6.28,0.14,0.96
LHERZOLITE,0.19,58.09,10.55,0.11,0.01
LHERZOLITE,0.54,7.14,3.05,0.11,19.69
LHERZOLITE,0.01,0.02,9.37,0.13,0.06
LHERZOLITE,0.11,4.24,5.89,0.14,0.78
LHERZOLITE,0.42,6.26,2.6,0.1,20.68
LHERZOLITE,0.01,0.01,8.76,0.14,0.05
LHERZOLITE,0.02,3.19,5.61,0.14,0.64
LHERZOLITE,0.09,3.96,2.11,0.08,22.87
LHERZOLITE,0.05,47.81,10.9,0.16,0.01
LHERZOLITE,0.02,0.02,10.01,0.14,0.05
LHERZOLITE,0.13,4.21,6.27,0.16,0.7
LHERZOLITE,0.13,56.9,10.94,0.12,0.01
LHERZOLITE,0.55,6.79,2.71,0.1,20.66
LHERZOLITE,0.01,0.01,9.91,0.15,0.05
LHERZOLITE,0.14,4.21,6.28,0.15,0.69
LHERZOLITE,0.12,57.19,10.93,0.13,0.01
LHERZOLITE,0.54,6.53,2.7,0.1,20.58
LHERZOLITE,0.01,0.01,8.99,0.11,0.04
LHERZOLITE,0.03,2.73,5.74,0.13,0.58
LHERZOLITE,0.08,3.49,2.18,0.08,22.76
LHERZOLITE,0.01,0.02,10.08,0.14,0.09
LHERZOLITE,0.15,5.32,6.28,0.14,0.97
LHERZOLITE,0.18,57.69,10.57,0.11,0.01
LHERZOLITE,0.48,7.1,3.09,0.12,19.59
LHERZOLITE,0.11,4.34,5.87,0.14,0.73
LHERZOLITE,0.11,55.94,10.5,0.13,0.01
LHERZOLITE,0.44,6.13,2.56,0.09,21.34
LHERZOLITE,0.11,3.92,6.29,0.15,0.65
LHERZOLITE,0.12,55.93,10.97,0.13,0.01
LHERZOLITE,0.48,6.39,2.54,0.09,21.18
LHERZOLITE,0.12,4.27,6.55,0.17,0.59
LHERZOLITE,0.1,59.84,10.9,0.11,0.01
LHERZOLITE,0.59,6.7,2.68,0.1,20.98
LHERZOLITE,0.01,0.02,9.62,0.13,0.08
LHERZOLITE,0.13,4.82,6.09,0.14,0.8
LHERZOLITE,0.16,57.61,10.67,0.12,0.01
LHERZOLITE,0.54,6.73,2.85,0.09,20.39
LHERZOLITE,0.01,0.04,9.71,0.14,0.11
LHERZOLITE,0.14,5.74,6.11,0.14,1.2
LHERZOLITE,0.22,56.27,10.53,0.12,0.01
LHERZOLITE,0.48,7.24,3.24,0.1,19.27
LHERZOLITE,0.01,0.01,9.07,0.13,0.05
LHERZOLITE,0.02,3.15,5.92,0.15,0.62
LHERZOLITE,0.09,3.86,2.4,0.07,23.41
LHERZOLITE,0.04,48.81,12.34,0.13,0.01
LHERZOLITE,0.01,0.01,9.04,0.15,0.05
LHERZOLITE,0.02,3.29,5.8,0.13,0.62
LHERZOLITE,0.07,3.89,2.45,0.07,23.46
LHERZOLITE,0.04,48.13,12.42,0.16,0.01
LHERZOLITE,0.01,0.01,9.06,0.12,0.05
LHERZOLITE,0.04,3.21,5.91,0.14,0.62
LHERZOLITE,0.1,3.69,2.42,0.09,23.43
LHERZOLITE,0.06,48.9,12.31,0.16,0.01
PERIDOTITE,0.05,0.02,11.3,0.17,0.19
PERIDOTITE,0.04,0.02,8.76,0.09,0.1
PERIDOTITE,0.04,0.05,12.4,0.14,0.2
PERIDOTITE,2.5,3.57,5.55,0.1,23.7
PERIDOTITE,3.86,6.33,6.24,0.03,23.6
PERIDOTITE,4.34,6.63,5.99,0.04,23.5
PERIDOTITE,0.01,0.01,8.23,0.15,0.08
PERIDOTITE,0.02,0.01,8.41,0.15,0.08
PERIDOTITE,0.13,0.15,1.89,0.14,19.0
PERIDOTITE,0.42,0.18,2.02,0.09,18.3
PERIDOTITE,0.04,0.01,12.92,0.16,0.37
PERIDOTITE,0.04,0.01,7.74,0.16,0.1
PERIDOTITE,0.04,0.01,8.34,0.11,0.1
PERIDOTITE,0.01,0.02,13.3,0.13,0.38
PERIDOTITE,0.03,0.05,13.0,0.18,0.21
PERIDOTITE,0.06,0.04,13.0,0.22,0.28
PERIDOTITE,1.89,3.29,4.28,0.03,23.9
PERIDOTITE,1.89,3.46,4.63,0.1,23.7
PERIDOTITE,1.87,3.53,4.58,0.06,23.5
PERIDOTITE,0.01,0.01,8.77,0.05,0.12
ECLOGITE,0.39,21.87,14.72,0.46,3.77
ECLOGITE,0.29,22.31,17.82,0.4,5.28
ECLOGITE,0.33,22.36,14.74,0.5,4.12
ECLOGITE,0.35,22.44,18.09,0.49,5.36
ECLOGITE,0.31,22.45,17.69,0.43,5.39
ECLOGITE,0.37,22.46,18.13,0.45,5.35
ECLOGITE,0.35,22.47,17.97,0.52,5.22
ECLOGITE,0.31,22.48,17.86,0.43,5.48
ECLOGITE,0.29,22.48,18.64,0.48,6.01
ECLOGITE,0.35,22.49,16.73,0.51,4.51
ECLOGITE,0.33,22.49,17.85,0.46,5.21
ECLOGITE,0.31,22.49,18.15,0.52,5.21
ECLOGITE,0.34,22.5,16.53,0.52,3.8
ECLOGITE,0.31,22.5,17.94,0.41,6.26
ECLOGITE,0.34,22.51,17.35,0.45,5.04
ECLOGITE,0.33,22.51,17.55,0.41,5.09
ECLOGITE,0.32,22.51,17.86,0.4,5.17
ECLOGITE,0.4,22.51,17.87,0.48,5.16
ECLOGITE,0.31,22.51,18.23,0.51,5.22
ECLOGITE,0.29,22.51,18.67,0.45,6.06
ECLOGITE,0.27,22.52,18.22,0.49,6.02
ECLOGITE,0.28,22.52,18.43,0.49,6.02
ECLOGITE,0.33,22.53,17.13,0.47,4.26
ECLOGITE,0.32,22.53,18.25,0.49,5.51
ECLOGITE,0.29,22.53,18.8,0.47,6.09
ECLOGITE,0.29,22.54,18.45,0.47,6.03
ECLOGITE,0.29,22.54,18.49,0.47,6.06
ECLOGITE,0.29,22.54,18.58,0.45,6.02
ECLOGITE,0.29,22.54,18.71,0.48,6.08
ECLOGITE,0.36,22.55,17.34,0.5,4.87
ECLOGITE,0.31,22.55,17.68,0.45,5.14
ECLOGITE,0.33,22.55,17.72,0.47,4.91
ECLOGITE,0.29,22.55,18.39,0.46,6.01
ECLOGITE,0.31,22.55,18.48,0.47,6.06
ECLOGITE,0.38,22.57,16.2,0.49,3.88
ECLOGITE,0.32,22.57,17.18,0.51,4.52
ECLOGITE,0.3,22.57,18.28,0.47,6.05
ECLOGITE,0.29,22.57,18.38,0.48,5.9
ECLOGITE,0.29,22.57,18.45,0.47,6.02
ECLOGITE,0.3,22.59,18.29,0.47,5.48
ECLOGITE,0.35,22.6,17.03,0.46,4.41
ECLOGITE,0.39,22.61,15.47,0.57,3.88
ECLOGITE,0.29,22.61,18.17,0.46,5.84
ECLOGITE,0.33,22.62,16.89,0.49,4.4
ECLOGITE,0.37,22.63,14.84,0.54,4.28
ECLOGITE,0.32,22.63,16.9,0.46,4.56
ECLOGITE,0.31,22.63,18.07,0.39,6.04
ECLOGITE,0.39,22.64,15.28,0.54,3.85
ECLOGITE,0.34,22.65,15.11,0.57,4.04
ECLOGITE,0.34,22.66,16.42,0.56,4.32
ECLOGITE,0.35,22.67,15.26,0.61,4.05
ECLOGITE,0.34,22.67,15.64,0.54,3.92
ECLOGITE,0.29,22.67,18.07,0.42,6.02
ECLOGITE,0.34,22.69,16.05,0.53,3.86
ECLOGITE,0.32,22.69,16.86,0.46,4.71
ECLOGITE,0.31,22.69,16.99,0.51,4.35
ECLOGITE,0.35,22.7,15.69,0.5,3.91
ECLOGITE,0.33,22.7,16.16,0.58,3.79
ECLOGITE,0.38,22.71,15.18,0.49,4.09
ECLOGITE,0.37,22.71,15.96,0.54,3.6
ECLOGITE,0.35,22.72,14.79,0.53,4.03
ECLOGITE,0.33,22.74,15.14,0.62,4.11
ECLOGITE,0.31,22.74,16.19,0.59,3.72
ECLOGITE,0.34,22.74,16.75,0.49,3.97
ECLOGITE,0.32,22.75,15.81,0.54,3.99
ECLOGITE,0.31,22.77,16.12,0.55,3.8
ECLOGITE,0.29,22.77,16.19,0.52,3.89
ECLOGITE,0.29,22.8,15.92,0.53,3.96
ECLOGITE,0.33,22.81,15.76,0.49,4.03
ECLOGITE,0.3,22.82,15.86,0.57,3.72
ECLOGITE,0.32,22.82,16.39,0.47,3.83
ECLOGITE,0.31,22.83,15.36,0.57,4.0
ECLOGITE,0.32,22.84,15.96,0.54,3.86
ECLOGITE,0.32,5.12,5.58,0.14,15.82
ECLOGITE,0.39,6.95,5.68,0.1,14.5
ECLOGITE,0.4,8.31,5.48,0.09,14.21
ECLOGITE,0.39,8.89,5.34,0.08,14.0
LHERZOLITE,0.2,20.7,7.9,0.4,4.97
LHERZOLITE,0.19,20.8,8.0,0.5,4.97
LHERZOLITE,0.18,20.9,7.9,0.5,4.86
LHERZOLITE,0.19,21.0,7.9,0.4,5.03
LHERZOLITE,0.19,21.1,7.6,0.4,4.96
LHERZOLITE,0.16,21.1,7.6,0.4,5.02
LHERZOLITE,0.17,21.1,7.7,0.4,5.01
LHERZOLITE,0.18,21.1,7.8,0.4,5.01
LHERZOLITE,0.19,21.1,8.0,0.5,5.01
LHERZOLITE,0.17,21.2,7.6,0.4,4.95
LHERZOLITE,0.17,21.2,7.6,0.4,5.0
LHERZOLITE,0.17,21.2,7.7,0.43,5.0
LHERZOLITE,0.16,21.2,7.8,0.4,5.01
LHERZOLITE,0.2,21.2,7.8,0.4,5.05
LHERZOLITE,0.13,21.2,8.0,0.4,4.89
LHERZOLITE,0.14,21.3,7.4,0.4,5.07
LHERZOLITE,0.18,21.3,7.5,0.4,5.05
LHERZOLITE,0.18,21.3,7.5,0.4,5.09
LHERZOLITE,0.17,21.3,7.6,0.4,5.0
LHERZOLITE,0.18,21.3,7.6,0.4,5.03
LHERZOLITE,0.19,21.3,7.7,0.4,5.03
LHERZOLITE,0.16,21.3,7.8,0.4,5.04
LHERZOLITE,0.19,21.4,7.5,0.4,5.02
LHERZOLITE,0.1,21.4,7.9,0.5,4.82
LHERZOLITE,0.18,21.4,8.0,0.5,4.74
LHERZOLITE,0.17,21.4,8.0,0.5,4.98
LHERZOLITE,0.17,21.5,7.5,0.4,5.01
LHERZOLITE,0.18,21.5,7.5,0.4,5.04
LHERZOLITE,0.15,21.6,7.9,0.4,4.89
LHERZOLITE,0.12,21.8,8.0,0.4,4.81
LHERZOLITE,0.29,4.23,1.69,0.05,19.54
LHERZOLITE,0.12,22.0,7.8,0.4,5.16
LHERZOLITE,0.13,22.0,7.8,0.4,5.26
LHERZOLITE,0.1,22.0,8.1,0.4,5.14
LHERZOLITE,0.13,22.1,7.7,0.4,5.28
LHERZOLITE,0.09,22.1,7.7,0.4,5.29
LHERZOLITE,0.16,22.1,7.8,0.4,5.21
LHERZOLITE,0.1,22.1,7.8,0.4,5.3
LHERZOLITE,0.09,22.1,7.8,0.4,5.51
LHERZOLITE,0.12,22.1,7.9,0.4,5.28
LHERZOLITE,0.08,22.2,7.3,0.3,5.26
LHERZOLITE,0.14,22.2,7.4,0.3,5.25
LHERZOLITE,0.11,22.2,7.6,0.37,5.3
LHERZOLITE,0.12,22.2,7.8,0.4,5.26
LHERZOLITE,0.11,22.2,7.8,0.4,5.3
LHERZOLITE,0.11,22.3,7.3,0.3,5.29
LHERZOLITE,0.11,22.3,7.4,0.3,5.19
LHERZOLITE,0.09,22.3,7.5,0.3,5.27
LHERZOLITE,0.1,22.3,7.8,0.4,5.26
LHERZOLITE,0.16,22.4,7.3,0.3,5.21
LHERZOLITE,0.12,22.4,7.4,0.3,5.28
LHERZOLITE,0.11,22.5,7.3,0.3,5.23
LHERZOLITE,0.37,4.54,1.96,0.07,18.49
LHERZOLITE,0.1,21.5,7.8,0.4,5.54
LHERZOLITE,0.13,21.6,8.2,0.5,5.45
LHERZOLITE,0.14,21.7,7.9,0.5,5.48
LHERZOLITE,0.12,21.7,8.2,0.5,5.44
LHERZOLITE,0.12,21.8,7.7,0.4,5.46
LHERZOLITE,0.1,21.8,7.7,0.4,5.47
LHERZOLITE,0.14,21.8,7.8,0.4,5.52
LHERZOLITE,0.12,21.8,7.9,0.45,5.5
LHERZOLITE,0.11,21.9,7.7,0.4,5.47
LHERZOLITE,0.13,21.9,7.8,0.5,5.51
LHERZOLITE,0.11,21.9,8.2,0.5,5.42
LHERZOLITE,0.09,22.0,7.8,0.4,5.43
LHERZOLITE,0.13,22.1,7.7,0.4,5.49
LHERZOLITE,0.12,22.2,7.7,0.4,5.53
LHERZOLITE,0.3,4.76,1.43,0.07,21.22
LHERZOLITE,0.07,21.8,7.2,0.3,5.26
LHERZOLITE,0.08,21.8,7.4,0.4,5.22
LHERZOLITE,0.07,21.8,7.5,0.4,5.21
LHERZOLITE,0.08,21.9,7.2,0.3,4.5
LHERZOLITE,0.08,21.9,7.3,0.4,5.24
LHERZOLITE,0.06,21.9,7.3,0.4,5.3
LHERZOLITE,0.08,21.9,7.5,0.4,5.16
LHERZOLITE,0.06,21.9,7.6,0.4,5.24
LHERZOLITE,0.06,22.0,7.1,0.3,5.16
LHERZOLITE,0.07,22.0,7.2,0.3,5.21
LHERZOLITE,0.06,22.0,7.2,0.4,5.0
LHERZOLITE,0.08,22.0,7.2,0.4,5.25
LHERZOLITE,0.07,22.0,7.2,0.4,5.26
LHERZOLITE,0.07,22.0,7.3,0.37,5.2
LHERZOLITE,0.06,22.0,7.3,0.4,5.25
LHERZOLITE,0.08,22.0,7.3,0.4,5.33
LHERZOLITE,0.09,22.0,7.4,0.4,5.26
LHERZOLITE,0.07,22.0,7.5,0.4,4.96
LHERZOLITE,0.08,22.0,7.5,0.4,5.11
LHERZOLITE,0.08,22.1,7.5,0.4,5.25
LHERZOLITE,0.08,22.2,7.1,0.3,5.17
LHERZOLITE,0.06,22.5,7.1,0.4,5.05
LHERZOLITE,0.06,22.7,7.3,0.4,4.96
LHERZOLITE,0.49,5.22,1.24,0.06,21.27
LHERZOLITE,0.09,22.8,7.1,0.3,4.89
LHERZOLITE,0.12,22.9,7.2,0.3,4.89
LHERZOLITE,0.12,22.9,7.4,0.3,4.85
LHERZOLITE,0.11,23.0,7.0,0.3,4.86
LHERZOLITE,0.1,23.0,7.1,0.3,4.84
LHERZOLITE,0.08,23.0,7.2,0.3,4.85
LHERZOLITE,0.11,23.0,7.2,0.3,4.88
LHERZOLITE,0.11,23.0,7.2,0.3,4.89
LHERZOLITE,0.13,23.0,7.3,0.3,4.89
LHERZOLITE,0.07,23.0,7.5,0.3,4.75
LHERZOLITE,0.11,23.1,7.1,0.3,4.85
LHERZOLITE,0.11,23.1,7.1,0.3,4.94
LHERZOLITE,0.1,23.1,7.2,0.29,4.9
LHERZOLITE,0.12,23.1,7.2,0.3,4.83
LHERZOLITE,0.12,23.1,7.2,0.3,4.87
LHERZOLITE,0.11,23.1,7.2,0.3,4.94
LHERZOLITE,0.06,23.1,7.3,0.3,4.72
LHERZOLITE,0.09,23.1,7.3,0.3,4.82
LHERZOLITE,0.08,23.1,7.3,0.3,4.87
LHERZOLITE,0.09,23.1,7.3,0.3,4.88
LHERZOLITE,0.07,23.1,7.5,0.3,4.78
LHERZOLITE,0.09,23.1,7.6,0.3,4.83
LHERZOLITE,0.08,23.2,7.1,0.3,4.89
LHERZOLITE,0.1,23.2,7.1,0.3,4.91
LHERZOLITE,0.1,23.2,7.2,0.3,4.87
LHERZOLITE,0.08,23.2,7.2,0.3,4.88
LHERZOLITE,0.08,23.3,6.9,0.3,4.87
LHERZOLITE,0.09,23.3,7.0,0.3,4.95
LHERZOLITE,0.1,23.3,7.1,0.3,4.81
LHERZOLITE,0.1,23.3,7.1,0.3,4.87
LHERZOLITE,0.1,23.3,7.1,0.3,4.99
LHERZOLITE,0.09,23.3,7.5,0.3,4.8
LHERZOLITE,0.07,23.3,7.5,0.3,4.82
LHERZOLITE,0.13,23.4,7.1,0.3,4.82
LHERZOLITE,0.2,3.95,1.55,0.05,21.91
LHERZOLITE,0.18,19.9,7.2,0.4,5.78
LHERZOLITE,0.16,20.0,7.1,0.4,5.69
LHERZOLITE,0.18,20.0,7.2,0.4,5.68
LHERZOLITE,0.16,20.1,6.9,0.4,5.72
LHERZOLITE,0.18,20.1,7.0,0.4,5.68
LHERZOLITE,0.15,20.1,7.2,0.42,5.6
LHERZOLITE,0.14,20.1,7.3,0.4,5.64
LHERZOLITE,0.13,20.1,7.3,0.4,5.69
LHERZOLITE,0.18,20.2,7.0,0.4,5.75
LHERZOLITE,0.14,20.2,7.2,0.4,5.72
LHERZOLITE,0.15,20.3,7.0,0.4,5.7
LHERZOLITE,0.15,20.3,7.1,0.4,5.66
LHERZOLITE,0.14,20.3,7.1,0.4,5.72
LHERZOLITE,0.14,20.3,7.1,0.4,5.72
LHERZOLITE,0.12,20.9,7.3,0.4,5.02
LHERZOLITE,0.11,21.0,7.2,0.5,5.18
LHERZOLITE,0.12,3.24,2.16,0.07,19.35
LHERZOLITE,0.1,22.0,7.2,0.3,4.34
LHERZOLITE,0.12,22.0,7.3,0.3,4.37
LHERZOLITE,0.18,22.1,7.2,0.31,4.4
LHERZOLITE,0.12,22.2,7.2,0.3,4.42
LHERZOLITE,0.49,6.51,1.59,0.05,16.85
LHERZOLITE,0.12,22.2,6.2,0.3,4.88
LHERZOLITE,0.11,22.2,6.2,0.3,5.08
LHERZOLITE,0.16,22.3,6.2,0.2,4.94
LHERZOLITE,0.14,22.3,6.3,0.3,4.87
LHERZOLITE,0.12,22.3,6.3,0.3,4.99
LHERZOLITE,0.12,22.3,6.3,0.3,5.12
LHERZOLITE,0.13,22.4,6.0,0.3,5.0
LHERZOLITE,0.15,22.4,6.1,0.3,5.01
LHERZOLITE,0.13,22.4,6.2,0.3,5.05
LHERZOLITE,0.13,22.5,6.0,0.2,4.95
LHERZOLITE,0.1,22.5,6.0,0.3,4.79
LHERZOLITE,0.13,22.5,6.1,0.26,4.9
LHERZOLITE,0.13,22.5,6.1,0.3,4.9
LHERZOLITE,0.16,22.5,6.3,0.3,4.91
LHERZOLITE,0.13,22.6,6.0,0.3,4.84
LHERZOLITE,0.13,22.6,6.1,0.2,4.85
LHERZOLITE,0.17,22.7,6.0,0.2,5.0
LHERZOLITE,0.12,22.7,6.1,0.3,4.86
LHERZOLITE,0.13,22.8,5.9,0.3,4.92
LHERZOLITE,0.11,22.8,6.0,0.3,4.93
LHERZOLITE,0.48,4.53,1.1,0.03,20.69
LHERZOLITE,0.45,16.0,7.8,0.5,6.11
LHERZOLITE,0.46,16.0,8.1,0.5,6.1
LHERZOLITE,0.44,16.2,7.8,0.5,5.97
LHERZOLITE,0.49,16.2,7.9,0.5,6.27
LHERZOLITE,0.35,16.3,7.6,0.4,5.42
LHERZOLITE,0.52,16.3,7.7,0.5,6.41
LHERZOLITE,0.49,16.4,7.6,0.5,6.06
LHERZOLITE,0.43,16.4,7.6,0.5,6.1
LHERZOLITE,0.51,16.4,7.6,0.5,6.62
LHERZOLITE,0.5,16.4,7.7,0.5,6.37
LHERZOLITE,0.44,16.4,7.8,0.5,5.98
LHERZOLITE,0.42,16.5,7.6,0.5,6.18
LHERZOLITE,0.41,16.5,7.7,0.5,5.75
LHERZOLITE,0.45,16.5,7.7,0.5,6.06
LHERZOLITE,0.49,16.5,7.7,0.5,6.24
LHERZOLITE,0.47,16.5,7.8,0.49,6.3
LHERZOLITE,0.48,16.5,7.8,0.5,6.06
LHERZOLITE,0.47,16.5,7.8,0.5,6.15
LHERZOLITE,0.47,16.5,7.8,0.5,6.34
LHERZOLITE,0.37,16.6,7.6,0.5,5.61
LHERZOLITE,0.42,16.6,7.6,0.5,6.42
LHERZOLITE,0.49,16.6,7.6,0.5,6.46
LHERZOLITE,0.54,16.6,7.7,0.5,6.74
LHERZOLITE,0.51,16.6,7.7,0.5,6.77
LHERZOLITE,0.3,16.7,7.2,0.4,4.7
LHERZOLITE,0.33,16.7,7.2,0.4,4.85
LHERZOLITE,0.36,16.7,7.5,0.4,5.15
LHERZOLITE,0.41,16.7,7.5,0.5,5.63
LHERZOLITE,0.47,16.7,7.6,0.5,6.66
LHERZOLITE,0.57,16.7,7.6,0.5,6.81
LHERZOLITE,0.41,16.7,7.7,0.4,5.62
LHERZOLITE,0.29,16.8,7.2,0.4,4.42
LHERZOLITE,0.39,16.8,7.6,0.5,5.35
LHERZOLITE,0.53,16.8,7.6,0.5,6.66
LHERZOLITE,0.43,16.8,7.7,0.5,5.78
LHERZOLITE,0.52,16.8,7.7,0.5,6.62
LHERZOLITE,0.33,16.9,7.1,0.4,4.88
LHERZOLITE,0.28,16.9,7.2,0.4,4.32
LHERZOLITE,0.29,16.9,7.2,0.4,4.6
LHERZOLITE,0.32,16.9,7.3,0.4,4.76
LHERZOLITE,0.38,16.9,7.3,0.4,5.41
LHERZOLITE,0.34,16.9,7.4,0.4,5.03
LHERZOLITE,0.36,16.9,7.4,0.4,5.33
LHERZOLITE,0.33,16.9,7.5,0.5,5.38
LHERZOLITE,0.35,16.9,7.6,0.5,5.35
LHERZOLITE,0.34,16.9,7.6,0.5,5.54
LHERZOLITE,0.4,16.9,7.7,0.5,5.85
LHERZOLITE,0.52,16.9,7.7,0.5,6.22
LHERZOLITE,0.17,17.0,7.1,0.4,3.63
LHERZOLITE,0.32,17.0,7.2,0.4,4.48
LHERZOLITE,0.3,17.0,7.2,0.4,4.66
LHERZOLITE,0.31,17.0,7.2,0.4,4.66
LHERZOLITE,0.32,17.0,7.2,0.4,4.7
LHERZOLITE,0.28,17.0,7.2,0.4,4.74
LHERZOLITE,0.38,17.0,7.2,0.4,5.12
LHERZOLITE,0.24,17.0,7.3,0.4,3.69
LHERZOLITE,0.36,17.0,7.4,0.4,4.98
LHERZOLITE,0.34,17.0,7.5,0.5,5.13
LHERZOLITE,0.28,17.0,7.6,0.5,5.05
LHERZOLITE,0.39,17.0,7.8,0.5,5.66
LHERZOLITE,0.0,17.1,7.0,0.4,2.9
LHERZOLITE,0.0,17.1,7.1,0.4,2.82
LHERZOLITE,0.18,17.1,7.1,0.4,3.81
LHERZOLITE,0.28,17.1,7.1,0.4,4.76
LHERZOLITE,0.26,17.1,7.2,0.4,4.56
LHERZOLITE,0.0,17.1,7.3,0.4,3.02
LHERZOLITE,0.3,17.1,7.4,0.4,4.13
LHERZOLITE,0.32,17.1,7.4,0.4,4.97
LHERZOLITE,0.08,17.1,7.7,0.5,2.81
LHERZOLITE,0.0,17.2,6.9,0.4,2.92
LHERZOLITE,0.01,17.2,7.1,0.4,2.82
LHERZOLITE,0.04,17.2,7.1,0.4,2.82
LHERZOLITE,0.0,17.2,7.1,0.4,2.95
LHERZOLITE,0.21,17.2,7.1,0.4,3.51
LHERZOLITE,0.14,17.2,7.1,0.4,3.7
LHERZOLITE,0.16,17.2,7.1,0.4,3.72
LHERZOLITE,0.14,17.2,7.1,0.4,3.73
LHERZOLITE,0.22,17.2,7.1,0.4,3.83
LHERZOLITE,0.23,17.2,7.1,0.4,4.0
LHERZOLITE,0.22,17.2,7.2,0.4,3.63
LHERZOLITE,0.13,17.2,7.2,0.4,3.73
LHERZOLITE,0.3,17.2,7.2,0.4,4.55
LHERZOLITE,0.32,17.2,7.2,0.4,4.69
LHERZOLITE,0.29,17.2,7.2,0.4,4.73
LHERZOLITE,0.33,17.2,7.2,0.4,4.79
LHERZOLITE,0.32,17.2,7.3,0.4,4.6
LHERZOLITE,0.0,17.2,7.4,0.4,2.9
LHERZOLITE,0.21,17.3,7.0,0.4,3.64
LHERZOLITE,0.04,17.3,7.1,0.4,2.82
LHERZOLITE,0.03,17.3,7.1,0.4,2.84
LHERZOLITE,0.0,17.3,7.1,0.4,2.84
LHERZOLITE,0.0,17.3,7.1,0.4,2.86
LHERZOLITE,0.03,17.3,7.1,0.4,2.9
LHERZOLITE,0.0,17.3,7.1,0.4,2.9
LHERZOLITE,0.13,17.3,7.2,0.4,3.75
LHERZOLITE,0.05,17.3,7.4,0.4,2.79
LHERZOLITE,0.06,17.4,7.1,0.4,2.71
LHERZOLITE,0.0,17.4,7.1,0.4,2.81
LHERZOLITE,0.28,17.4,7.2,0.4,4.16
LHERZOLITE,0.27,17.4,7.2,0.4,4.36
LHERZOLITE,0.21,17.5,7.0,0.4,4.05
LHERZOLITE,0.04,17.5,7.1,0.4,2.87
LHERZOLITE,0.03,17.5,7.2,0.4,2.75
LHERZOLITE,0.03,17.5,7.2,0.4,2.83
LHERZOLITE,0.0,17.5,7.2,0.4,2.84
LHERZOLITE,0.29,17.5,7.2,0.4,4.42
LHERZOLITE,0.33,17.5,7.2,0.4,4.47
LHERZOLITE,0.25,17.8,7.0,0.4,4.06
LHERZOLITE,0.49,18.8,7.6,0.5,6.33
LHERZOLITE,0.23,2.22,2.56,0.09,19.1
LHERZOLITE,0.24,1.57,3.26,0.11,18.4
LHERZOLITE,0.66,18.4,7.1,0.3,5.22
LHERZOLITE,0.78,18.7,7.1,0.3,5.17
LHERZOLITE,0.51,18.9,7.1,0.3,5.14
LHERZOLITE,0.03,19.0,7.2,0.3,5.43
LHERZOLITE,0.62,19.1,7.2,0.3,5.12
LHERZOLITE,0.06,19.1,7.2,0.3,5.39
LHERZOLITE,0.11,19.2,7.1,0.3,5.31
LHERZOLITE,0.67,19.2,7.3,0.3,5.2
LHERZOLITE,0.38,19.28,7.2,0.29,5.2
LHERZOLITE,0.47,19.3,7.1,0.3,5.02
LHERZOLITE,0.22,19.3,7.2,0.3,5.17
LHERZOLITE,0.06,19.4,7.2,0.3,5.25
LHERZOLITE,0.32,19.5,7.2,0.3,5.14
LHERZOLITE,0.05,19.5,7.2,0.3,5.2
LHERZOLITE,0.19,19.5,7.2,0.3,5.25
LHERZOLITE,0.47,19.8,7.1,0.3,5.05
LHERZOLITE,0.68,19.8,7.2,0.3,5.09
LHERZOLITE,0.55,20.1,7.2,0.3,5.09
LHERZOLITE,0.29,1.41,2.98,0.11,18.48
LHERZOLITE,0.1,17.3,7.3,0.4,5.79
LHERZOLITE,0.1,17.3,7.4,0.4,5.76
LHERZOLITE,0.07,17.4,7.3,0.4,5.73
LHERZOLITE,0.07,17.5,7.4,0.4,5.73
LHERZOLITE,0.12,17.5,7.4,0.4,5.75
LHERZOLITE,0.1,17.5,7.4,0.4,5.8
LHERZOLITE,0.11,17.6,7.2,0.3,5.73
LHERZOLITE,0.1,17.6,7.4,0.4,5.76
LHERZOLITE,0.17,17.7,7.3,0.3,5.77
LHERZOLITE,0.05,17.7,7.4,0.3,5.78
