,0,1,2,3,4,5,6,7,8,9,10,11
221,ROCK NAME,SIO2,AL2O3,MGO,NA2O,0.714453770009325,,,,,,
222,ROCK NAME,SIO2,AL2O3,MGO,P2O5,0.7145375800084313,,,,,,
223,ROCK NAME,SIO2,AL2O3,MNO,K2O,0.7146079229412556,,,,,,
224,ROCK NAME,SIO2,AL2O3,MNO,NA2O,0.7148295874221793,,,,,,
225,ROCK NAME,SIO2,AL2O3,MNO,P2O5,0.7149610468194532,,,,,,
226,ROCK NAME,SIO2,AL2O3,K2O,NA2O,0.7152001204864632,,,,,,
227,ROCK NAME,SIO2,AL2O3,K2O,P2O5,0.7151247063527757,,,,,,
228,ROCK NAME,SIO2,AL2O3,NA2O,P2O5,0.7154397707527248,,,,,,
229,ROCK NAME,SIO2,CR2O3,FEOT,CAO,0.7157397084933309,,,,,,
230,ROCK NAME,SIO2,CR2O3,FEOT,MGO,0.7160534938312709,,,,,,
231,ROCK NAME,SIO2,CR2O3,FEOT,MNO,0.7156686969905353,,,,,,
232,ROCK NAME,SIO2,CR2O3,FEOT,K2O,0.7153116580870506,,,,,,
233,ROCK NAME,SIO2,CR2O3,FEOT,NA2O,0.7153432196167231,,,,,,
234,ROCK NAME,SIO2,CR2O3,FEOT,P2O5,0.7151401264876432,,,,,,
235,ROCK NAME,SIO2,CR2O3,CAO,MGO,0.715393468218326,,,,,,
236,ROCK NAME,SIO2,CR2O3,CAO,MNO,0.715628643898685,,,,,,
237,ROCK NAME,SIO2,CR2O3,CAO,K2O,0.715889774713303,,,,,,
238,ROCK NAME,SIO2,CR2O3,CAO,NA2O,0.716267925472945,,,,,,
239,ROCK NAME,SIO2,CR2O3,CAO,P2O5,0.7164965178854055,,,,,,
240,ROCK NAME,SIO2,CR2O3,MGO,MNO,0.7165695326137912,,,,,,
241,ROCK NAME,SIO2,CR2O3,MGO,K2O,0.716547762002306,,,,,,
242,ROCK NAME,SIO2,CR2O3,MGO,NA2O,0.7165535272531143,,,,,,
243,ROCK NAME,SIO2,CR2O3,MGO,P2O5,0.7166876839007973,,,,,,
244,ROCK NAME,SIO2,CR2O3,MNO,K2O,0.7161850495183814,,,,,,
245,ROCK NAME,SIO2,CR2O3,MNO,NA2O,0.715945150904499,,,,,,
