ROCK NAME,SIO2,MGO,CAO,MNO
HARZBURGITE,43.99,46.2,0.59,0.12
HARZBURGITE,44.23,46.52,1.13,0.12
HARZBURGITE,40.79,48.09,1.05,0.14
HARZBURGITE,40.46,47.59,0.85,0.14
HARZBURGITE,36.78,50.43,0.38,0.14
HARZBURGITE,37.2,48.41,0.6,0.16
HARZBURGITE,39.78,46.64,0.85,0.15
HARZBURGITE,39.41,47.78,0.53,0.15
HARZBURGITE,39.97,47.21,0.63,0.15
HARZBURGITE,39.78,47.89,0.56,0.15
HARZBURGITE,38.84,49.44,0.35,0.13
HARZBURGITE,40.62,48.15,0.38,0.13
HARZBURGITE,42.61,45.94,0.33,0.12
HARZBURGITE,43.53,46.01,0.69,0.12
HARZBURGITE,43.81,46.53,0.6,0.12
HARZBURGITE,44.45,46.41,0.7,0.12
HARZBURGITE,43.92,47.17,0.53,0.12
HARZBURGITE,43.1,43.46,0.16,0.11
HARZBURGITE,38.27,40.73,0.15,0.1
HARZBURGITE,39.94,39.49,0.17,0.09
HARZBURGITE,35.97,40.57,0.15,0.08
HARZBURGITE,42.13,37.59,0.21,0.05
HARZBURGITE,36.87,40.66,0.14,0.11
HARZBURGITE,44.3,43.0,1.9,0.13
HARZBURGITE,42.0,39.4,1.95,0.13
HARZBURGITE,39.8,38.9,2.0,0.12
HARZBURGITE,41.7,39.0,2.86,0.14
HARZBURGITE,42.7,40.7,2.07,0.13
HARZBURGITE,41.8,39.7,2.21,0.13
HARZBURGITE,41.7,38.9,2.09,0.12
HARZBURGITE,41.9,40.3,1.76,0.14
HARZBURGITE,41.7,40.8,1.72,0.13
HARZBURGITE,40.7,41.7,1.37,0.12
HARZBURGITE,39.7,41.3,0.46,0.12
HARZBURGITE,41.9,41.0,1.21,0.12
HARZBURGITE,39.6,38.3,1.65,0.13
HARZBURGITE,40.9,40.6,1.49,0.13
HARZBURGITE,40.0,40.2,0.81,0.12
HARZBURGITE,40.5,41.4,0.95,0.12
HARZBURGITE,40.1,37.5,1.71,0.12
HARZBURGITE,40.6,38.6,1.88,0.12
HARZBURGITE,38.3,37.8,0.62,0.13
HARZBURGITE,40.5,39.3,0.78,0.13
HARZBURGITE,43.4,45.3,0.91,0.14
HARZBURGITE,43.6,44.0,0.95,0.13
HARZBURGITE,43.4,42.8,0.94,0.14
HARZBURGITE,41.6,44.9,0.56,0.11
HARZBURGITE,41.7,45.4,0.8,0.12
HARZBURGITE,45.2,41.5,0.8,0.09
HARZBURGITE,46.1,39.2,1.2,0.11
HARZBURGITE,43.8,45.1,0.38,0.116
HARZBURGITE,43.9,45.9,0.14,0.11
HARZBURGITE,42.7,43.2,1.04,0.12
HARZBURGITE,40.1,36.3,1.23,0.16
HARZBURGITE,41.41,39.09,0.79,0.11
HARZBURGITE,42.43,37.88,0.2,0.12
HARZBURGITE,39.91,37.2,0.42,0.12
HARZBURGITE,39.91,37.2,0.42,0.12
HARZBURGITE,39.91,37.2,0.42,0.12
HARZBURGITE,39.63,38.07,2.92,0.12
HARZBURGITE,38.47,38.43,0.42,0.08
HARZBURGITE,38.21,38.11,0.82,0.14
HARZBURGITE,39.86,38.13,0.77,0.14
HARZBURGITE,39.22,37.88,0.63,0.21
HARZBURGITE,39.2,37.81,0.58,0.18
HARZBURGITE,39.1,37.15,0.35,0.1
HARZBURGITE,37.84,36.96,1.5,0.13
HARZBURGITE,39.26,37.4,1.12,0.13
HARZBURGITE,39.74,37.35,0.58,0.12
HARZBURGITE,38.52,36.7,0.6,0.16
HARZBURGITE,41.9,37.85,1.4,0.18
HARZBURGITE,41.7,38.12,1.46,0.15
HARZBURGITE,39.82,36.1,2.6,0.17
HARZBURGITE,39.94,36.38,2.04,0.27
HARZBURGITE,39.77,35.54,0.41,0.11
HARZBURGITE,55.1,34.49,0.07,0.05
HARZBURGITE,55.3,33.6,0.12,0.05
HARZBURGITE,37.9,36.7,0.35,0.01
HARZBURGITE,38.13,36.5,0.18,0.17
HARZBURGITE,37.14,37.5,0.18,0.21
HARZBURGITE,37.7,37.0,0.18,0.1
HARZBURGITE,39.26,36.3,0.58,0.13
HARZBURGITE,38.9,35.04,1.2,0.12
HARZBURGITE,39.56,35.32,1.2,0.73
HARZBURGITE,38.17,36.59,0.07,0.1
HARZBURGITE,35.69,35.88,3.52,0.1
HARZBURGITE,40.93,36.85,0.74,0.1
HARZBURGITE,34.14,39.32,0.02,0.14
HARZBURGITE,37.46,39.15,0.03,0.13
HARZBURGITE,34.61,39.21,0.08,0.16
HARZBURGITE,41.52,39.61,0.06,0.08
HARZBURGITE,39.29,37.04,0.07,0.06
HARZBURGITE,37.1,39.38,0.79,0.11
HARZBURGITE,49.99,22.65,8.45,0.18
