ROCK NAME,SIO2,TIO2,AL2O3,MGO,CAO,MNO
HARZBURGITE,41.9,0.03,1.84,40.3,1.76,0.14
HARZBURGITE,41.7,0.02,1.58,40.8,1.72,0.13
HARZBURGITE,43.4,0.02,0.25,45.3,0.91,0.14
HARZBURGITE,43.6,0.03,0.52,44.0,0.95,0.13
HARZBURGITE,43.4,0.02,0.82,42.8,0.94,0.14
HARZBURGITE,41.6,0.09,0.29,44.9,0.56,0.11
HARZBURGITE,41.7,0.03,1.0,45.4,0.8,0.12
HARZBURGITE,45.2,0.03,0.7,41.5,0.8,0.09
HARZBURGITE,46.1,0.01,2.7,39.2,1.2,0.11
HARZBURGITE,43.8,0.026,0.78,45.1,0.38,0.116
HARZBURGITE,43.9,0.024,0.44,45.9,0.14,0.11
HARZBURGITE,40.1,0.1,0.69,36.3,1.23,0.16
HARZBURGITE,41.41,0.02,0.58,39.09,0.79,0.11
HARZBURGITE,42.43,0.02,0.53,37.88,0.2,0.12
HARZBURGITE,39.91,0.04,1.22,37.2,0.42,0.12
HARZBURGITE,39.91,0.04,1.22,37.2,0.42,0.12
HARZBURGITE,39.91,0.04,1.22,37.2,0.42,0.12
HARZBURGITE,39.63,0.02,0.76,38.07,2.92,0.12
HARZBURGITE,38.47,0.15,1.22,38.43,0.42,0.08
HARZBURGITE,38.21,0.08,2.15,38.11,0.82,0.14
HARZBURGITE,39.86,0.1,1.36,38.13,0.77,0.14
HARZBURGITE,39.22,0.08,2.36,37.88,0.63,0.21
HARZBURGITE,39.2,0.1,2.53,37.81,0.58,0.18
HARZBURGITE,39.1,0.15,1.86,37.15,0.35,0.1
HARZBURGITE,37.84,0.12,1.43,36.96,1.5,0.13
HARZBURGITE,39.26,0.15,1.44,37.4,1.12,0.13
HARZBURGITE,39.74,0.2,1.86,37.35,0.58,0.12
HARZBURGITE,38.52,0.54,1.02,36.7,0.6,0.16
HARZBURGITE,41.9,0.15,1.18,37.85,1.4,0.18
HARZBURGITE,41.7,0.09,1.7,38.12,1.46,0.15
HARZBURGITE,39.82,0.58,2.62,36.1,2.6,0.17
HARZBURGITE,39.94,0.17,2.48,36.38,2.04,0.27
HARZBURGITE,39.77,0.1,3.14,35.54,0.41,0.11
HARZBURGITE,55.1,0.01,0.56,34.49,0.07,0.05
HARZBURGITE,55.3,0.02,0.65,33.6,0.12,0.05
HARZBURGITE,37.9,0.06,2.22,36.7,0.35,0.01
HARZBURGITE,38.13,0.04,2.06,36.5,0.18,0.17
HARZBURGITE,37.14,0.06,2.84,37.5,0.18,0.21
HARZBURGITE,37.7,0.03,3.92,37.0,0.18,0.1
HARZBURGITE,39.26,0.1,1.67,36.3,0.58,0.13
HARZBURGITE,38.9,0.11,2.83,35.04,1.2,0.12
HARZBURGITE,39.56,0.04,1.9,35.32,1.2,0.73
HARZBURGITE,36.41,0.0,0.41,40.18,0.43,0.09
HARZBURGITE,39.21,0.0,0.59,38.19,1.66,0.11
HARZBURGITE,35.9,0.0,0.35,39.39,0.31,0.11
HARZBURGITE,36.01,0.0,0.47,39.35,0.66,0.12
HARZBURGITE,36.84,0.0,0.45,39.91,0.63,0.11
HARZBURGITE,37.84,0.01,0.64,40.24,0.03,0.1
HARZBURGITE,37.75,0.01,0.65,39.99,0.03,0.1
HARZBURGITE,37.45,0.01,0.57,40.3,0.03,0.09
HARZBURGITE,37.11,0.01,0.55,40.14,0.03,0.1
HARZBURGITE,36.97,0.01,0.54,40.48,0.03,0.09
HARZBURGITE,37.17,0.01,0.52,38.56,0.02,0.1
HARZBURGITE,36.81,0.01,0.6,39.64,0.06,0.1
HARZBURGITE,36.78,0.01,0.47,39.93,0.05,0.09
HARZBURGITE,37.48,0.01,0.61,40.11,0.2,0.1
